spkid,full_name,pdes,name,class,H
20000494,   494 Virtus (A902 TF),494,Virtus,MBA,9.32
20000503,   503 Evelyn (A903 BL),503,Evelyn,MBA,9.32
20001404,  1404 Ajax (1936 QW),1404,Ajax,TJN,9.32
20003708,  3708 Socus (1974 FV1),3708,Socus,TJN,9.32
20004086,  4086 Podalirius (1985 VK2),4086,Podalirius,TJN,9.32
20000161,   161 Athor (A876 HA),161,Athor,MBA,9.33
20000589,   589 Croatia (A906 EC),589,Croatia,MBA,9.33
20000733,   733 Mocia (A912 SA),733,Mocia,OMB,9.33
20000084,    84 Klio (A865 QA),84,Klio,MBA,9.34
20000462,   462 Eriphyla (A900 UJ),462,Eriphyla,MBA,9.34
20000653,   653 Berenike (A907 WC),653,Berenike,MBA,9.34
20000691,   691 Lehigh (A909 XB),691,Lehigh,MBA,9.34
20000791,   791 Ani (A914 MB),791,Ani,MBA,9.34
20000796,   796 Sarita (A914 UF),796,Sarita,MBA,9.34
20000143,   143 Adria (A875 DA),143,Adria,MBA,9.35
20000151,   151 Abundantia (A875 VA),151,Abundantia,MBA,9.35
20000214,   214 Aschera (A880 DB),214,Aschera,MBA,9.35
20000550,   550 Senta (A904 WB),550,Senta,MBA,9.35
20000583,   583 Klotilde (A905 YD),583,Klotilde,MBA,9.35
20001028,  1028 Lydina (A923 VF),1028,Lydina,OMB,9.35
20000158,   158 Koronis (A876 AA),158,Koronis,MBA,9.36
20000170,   170 Maria (A877 AA),170,Maria,MBA,9.36
20000229,   229 Adelinda (A882 QB),229,Adelinda,OMB,9.36
20000530,   530 Turandot (A904 GB),530,Turandot,MBA,9.36
20000593,   593 Titania (A906 FK),593,Titania,MBA,9.36
20001102,  1102 Pepita (1928 VA),1102,Pepita,MBA,9.36
20001902,  1902 Shaposhnikov (1972 HU),1902,Shaposhnikov,OMB,9.36
20000597,   597 Bandusia (A906 HE),597,Bandusia,MBA,9.37
20000640,   640 Brambilla (A907 QA),640,Brambilla,MBA,9.37
20001177,  1177 Gonnessia (1930 WA),1177,Gonnessia,OMB,9.37
20000408,   408 Fama (A917 RB),408,Fama,MBA,9.38
20000927,   927 Ratisbona (A920 DB),927,Ratisbona,OMB,9.38
20000931,   931 Whittemora (A920 FB),931,Whittemora,MBA,9.38
20000210,   210 Isabella (A879 VA),210,Isabella,MBA,9.39
20000326,   326 Tamara (A892 FD),326,Tamara,MBA,9.39
20000397,   397 Vienna (A894 YA),397,Vienna,MBA,9.39
20000678,   678 Fredegundis (A909 BQ),678,Fredegundis,MBA,9.39
20000888,   888 Parysatis (A918 CE),888,Parysatis,MBA,9.39
20002260,  2260 Neoptolemus (1975 WM1),2260,Neoptolemus,TJN,9.39
20000167,   167 Urda (A876 QA),167,Urda,MBA,9.4
20000189,   189 Phthia (A878 RA),189,Phthia,MBA,9.4
20000219,   219 Thusnelda (A880 SA),219,Thusnelda,MBA,9.4
20000278,   278 Paulina (A888 KA),278,Paulina,MBA,9.4
20000986,   986 Amelia (A922 UA),986,Amelia,MBA,9.4
20000384,   384 Burdigala (A894 CA),384,Burdigala,MBA,9.41
20000454,   454 Mathesis (A900 FB),454,Mathesis,MBA,9.41
20000542,   542 Susanna (A904 QA),542,Susanna,MBA,9.41
20000906,   906 Repsolda (A918 UF),906,Repsolda,MBA,9.41
20003540,  3540 Protesilaos (1973 UF5),3540,Protesilaos,TJN,9.41
20004060,  4060 Deipylos (1987 YT1),4060,Deipylos,TJN,9.41
20000339,   339 Dorothea (A892 SC),339,Dorothea,MBA,9.42
20000667,   667 Denise (A908 OF),667,Denise,MBA,9.42
20000940,   940 Kordula (A920 TE),940,Kordula,OMB,9.42
20000721,   721 Tabora (A911 UM),721,Tabora,OMB,9.43
20000886,   886 Washingtonia (A917 WA),886,Washingtonia,MBA,9.43
20000912,   912 Maritima (A919 HC),912,Maritima,MBA,9.43
20000359,   359 Georgia (A893 ED),359,Georgia,MBA,9.45
20000834,   834 Burnhamia (A916 SG),834,Burnhamia,MBA,9.45
20001180,  1180 Rita (1931 GE),1180,Rita,OMB,9.45
20000415,   415 Palatia (A896 CA),415,Palatia,MBA,9.46
